"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 3, 2025 4:26:49 a.m. PDT","24622762091","Order","702-8000470-5187469","WNCA-D33-25-2","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Beige S","1","amazon.ca","Amazon","Oakville","Ontario","L6M 0N","Combined TCS+MTC","32.99","4.29","6.99","0","0","0","0","0","-6.99","0","-4.29","-5.61","-6.73","0","0","20.65"
"Oct 3, 2025 1:31:01 p.m. PDT","24622762091","Order","701-4456437-1091429","WNCA-D33-22-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Black M","1","amazon.ca","Amazon","Calgary","Alberta","T3M 1X","Combined TCS+MTC","19.99","1.00","0","0","0","0","0","0","0","0","-1.00","-2.00","-6.73","0","0","11.26"
"Oct 3, 2025 5:06:57 p.m. PDT","24622762091","Refund","701-8526310-2497030","WNCA-D33-2-2","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black S","1","amazon.ca","Amazon","Edmonton","Alberta","T6T 1L","Combined TCS+MTC","-19.99","-1.00","0","0","0","0","0","0","0","0","1.00","1.60","0","0","0","-18.39"
"Oct 4, 2025 1:48:58 a.m. PDT","24622762091","Order","701-5834512-0873057","WNCA-D33-2-6","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black 2XL","1","amazon.ca","Amazon","OTTAWA","Ontario","K0A2W","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","0","0","11.26"
"Oct 4, 2025 5:09:57 p.m. PDT","24622762091","FBA Inventory Fee","ZUJx0spgCc","","Fulfilment by Amazon removal order: disposal fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.36","-0.36"
"Oct 5, 2025 12:23:33 a.m. PDT","24622762091","Fulfilment by Amazon customer return fee","702-2845100-5397041","X003R2BUDP","FBA Customer Return Per Unit Fee (Clothing & Shoes)","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-4.45","0","0","-4.45"
"Oct 6, 2025 4:23:21 a.m. PDT","24622762091","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-19.50","-19.50"
"Oct 7, 2025 2:08:12 a.m. PDT","24622762091","FBA Inventory Fee","","","FBA storage fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-30.17","-30.17"
"Oct 7, 2025 6:42:57 a.m. PDT","24622762091","Order","702-1134031-1245050","WNCA-D33-2-2","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black S","1","amazon.ca","Amazon","Etobicoke","Ontario","M9W 7E","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.36","0","0","11.63"
"Oct 7, 2025 2:10:09 p.m. PDT","24622762091","Fulfilment by Amazon customer return fee","701-0251432-0896237","X003RUT02P","FBA Customer Return Per Unit Fee (Clothing & Shoes)","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5.03","0","0","-5.03"
"Oct 8, 2025 3:25:43 p.m. PDT","24622762091","FBA Inventory Fee","701-0251432-0896237","","Fulfilment by Amazon removal order: disposal fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.36","-0.36"
"Oct 8, 2025 11:16:15 p.m. PDT","24622762091","Adjustment","","WNCA-D33-25-2","FBA Inventory Reimbursement - General Adjustment","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-20.25","-20.25"
"Oct 9, 2025 6:35:39 a.m. PDT","24622762091","Order","702-8857358-6355449","WNCA-D33-2-5","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black XL","1","amazon.ca","Amazon","Burton","New Brunswick","E2V 3K","Combined TCS+MTC","19.99","3.00","0","0","0","0","0","0","0","0","-3.00","-2.00","-7.40","0","0","10.59"
"Oct 10, 2025 9:06:14 a.m. PDT","24622762091","Order","702-9497441-4431421","WNCA-D33-22-3","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Black M","1","amazon.ca","Amazon","Hamilton","Ontario","L8V 1J","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","0","0","11.26"
"Oct 10, 2025 11:45:37 p.m. PDT","24622762091","Order","702-7767496-0789868","WNCA-D33-25-4","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Beige L","1","amazon.ca","Amazon","Notre-Dame-De-L'Ile-Perrot","Quebec","J7W 0W","Combined TCS+MTC","19.99","2.99","0","0","0","0","0","0","0","0","-2.99","-2.00","-7.23","0","0","10.76"
"Oct 11, 2025 2:51:58 a.m. PDT","24622762091","Order","701-2512624-1846638","WNCA-D33-6-4","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra White L","1","amazon.ca","Amazon","Stratton","Ontario","P0W 1N","Combined TCS+MTC","19.99","2.60","0","0","0","0","0","0","0","0","-2.60","-2.00","-6.73","0","0","11.26"
"Oct 11, 2025 9:49:24 a.m. PDT","24622762091","Order","702-9822643-8231438","WNCA-D33-25-2","Lusait Wireless Strapless Bra for Women Silicone Removable Padded Bra Comfort Bandeau Tube Top Bra Black+Beige S","1","amazon.ca","Amazon","Delta","British Columbia","V4C 4V","Combined TCS+MTC","32.99","3.96","0","0","0","0","0","0","0","0","-3.96","-5.61","-6.73","0","0","20.65"
