"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:01:40 AM PDT","24579421811","Order","114-3356202-2265010","WNUS-D33-5-3","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige M","1","amazon.com","Amazon","Wentzville","MO","63385","MarketplaceFacilitator","16.09","1.36","0","0","0","0","0","0","0","0","-1.36","-1.61","-4.67","0","0","9.81"
"Oct 1, 2025 12:01:58 AM PDT","24579421811","Refund","114-4153225-3731465","WNUS-D33-5-6","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige 2XL","1","amazon.com","Amazon","FORNEY","TX","75126","MarketplaceFacilitator","-16.09","-1.33","0","0","0","0","0","0","0","0","1.33","1.29","0","0","0","-14.80"
"Oct 1, 2025 12:03:13 AM PDT","24579421811","Order","114-8141410-4382641","WNUS-D33-5-6","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige 2XL","1","amazon.com","Amazon","INDIAN WELLS","CA","92210","MarketplaceFacilitator","16.09","1.25","0","0","0","0","0","0","0","0","-1.25","-1.61","-5.12","0","0","9.36"
"Oct 1, 2025 12:03:29 AM PDT","24579421811","Refund","114-6250748-1176252","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","DOYLESTOWN","PA","18901","MarketplaceFacilitator","-16.09","0","0","0","0","0","0","0","0","0","0","1.29","0","0","0","-14.80"
"Oct 1, 2025 12:08:42 AM PDT","24579421811","Fee Adjustment","112-4008635-1315424","","Fee Adjustment - Weight and Dimension Change","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0.78","0","0","0.78"
"Oct 1, 2025 12:12:30 AM PDT","24579421811","Order","113-0398873-1301852","WNUS-D33-5-2","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige S","1","amazon.com","Amazon","NOLENSVILLE","TN","37135","MarketplaceFacilitator","16.09","1.57","0","0","0","0","0","0","0","0","-1.57","-1.61","-4.45","0","0","10.03"
"Oct 1, 2025 12:15:19 AM PDT","24579421811","Order","113-7961913-9670604","WNUS-D33-5-4","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige L","1","amazon.com","Amazon","GALESVILLE","WI","54630","MarketplaceFacilitator","16.09","0.88","0","0","0","0","0","0","0","0","-0.88","-1.61","-4.67","0","0","9.81"
"Oct 1, 2025 12:21:17 AM PDT","24579421811","Adjustment","113-8589027-7755416","WNUS-D33-5-4","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.85","10.85"
"Oct 1, 2025 12:21:32 AM PDT","24579421811","Order","114-4131559-3237850","WNUS-D33-5-5","Lusait Strapless Bra for Women Non-Slip Silicone Padded Bandeau Bra Wireless Tube Top Bralette Beige XL","1","amazon.com","Amazon","OAKLAND","CA","94603","MarketplaceFacilitator","16.09","1.65","0","0","0","0","0","0","0","0","-1.65","-1.61","-5.90","0","0","8.58"
"Oct 1, 2025 12:23:53 AM PDT","24579421811","FBA Customer Return Fee","113-7538747-5997845","X003AM7VP3","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.12","0","0","-2.12"
