货件单号,货件名称,货件状态,创建时间,更新时间,MSKU,申报量,签收量,收件人,物流中心编码,收件邮编,收件国家,收件州/省,收件城市,收件街道地址,收件门牌号
FBA15KS3Q60G,RP250828003,CLOSED,2025-08-29 17:55,2025-11-15 03:09,MS-D22-2-4,6,6,Amazon EU SARL (UK),BHX4,CV5 9PF,Great Britain (United Kingdom; England),West Midlands,Coventry,"Plot 1, Lyons Park,",
,,,,,MS-D22-25-5,5,5,,,,,,,,
,,,,,MS-D22-5-5,10,10,,,,,,,,
,,,,,MS-D22-6-5,8,8,,,,,,,,
,,,,,MSUK-D63-209-3,4,4,,,,,,,,
,,,,,MSUK-D63-209-4,4,4,,,,,,,,
,,,,,MSUK-D70-2-2,30,30,,,,,,,,
,,,,,MSUK-D70-2-3,20,20,,,,,,,,
,,,,,MSUK-D70-2-4,40,40,,,,,,,,
,,,,,MSUK-D70-2-5,37,37,,,,,,,,
,,,,,MSUK-D70-2-6,20,20,,,,,,,,
,,,,,MSUK-D70-5-2,85,85,,,,,,,,
,,,,,MSUK-D70-5-3,92,92,,,,,,,,
,,,,,MSUK-D70-5-4,125,125,,,,,,,,
,,,,,MSUK-D70-5-5,70,70,,,,,,,,
,,,,,MSUK-D70-5-6,50,50,,,,,,,,
,,,,,MSUK-D70-6-3,20,20,,,,,,,,
,,,,,MSUK-D70-6-5,14,14,,,,,,,,
,,,,,MSUK-D70-6-6,16,16,,,,,,,,
,,,,,MSUK-D72-20-5,4,4,,,,,,,,
,,,,,MSUK-D74-2-3,10,10,,,,,,,,
,,,,,MSUK-D74-5-5,4,4,,,,,,,,
,,,,,MSUK-D75-2-2,10,10,,,,,,,,
,,,,,MSUK-D75-2-3,12,12,,,,,,,,
,,,,,MSUK-D75-2-4,6,6,,,,,,,,
,,,,,MSUK-D75-20-2,8,8,,,,,,,,
,,,,,MSUK-D75-206-2,8,8,,,,,,,,
,,,,,MSUK-D75-206-3,5,5,,,,,,,,
,,,,,MSUK-D75-206-5,4,4,,,,,,,,
,,,,,MSUK-D75-208-3,4,4,,,,,,,,
,,,,,MSUK-D75-268-2,4,4,,,,,,,,
,,,,,MSUK-D75-268-3,8,8,,,,,,,,
FBA15KS2JHM3,RP250828002,CLOSED,2025-08-29 15:33,2025-09-25 22:09,MS-D22-2-4,7,7,Amazon EU SARL (UK),BHX4,CV5 9PF,Great Britain (United Kingdom; England),West Midlands,Coventry,"Plot 1, Lyons Park,",
,,,,,MS-D22-6-5,8,8,,,,,,,,
,,,,,MSUK-D74-2-3,12,12,,,,,,,,
,,,,,MSUK-D75-2-2,8,8,,,,,,,,
,,,,,MSUK-D75-2-3,12,12,,,,,,,,
,,,,,MSUK-D75-20-2,12,12,,,,,,,,
,,,,,MSUK-D75-20-5,2,2,,,,,,,,
,,,,,MSUK-D75-206-2,14,14,,,,,,,,
,,,,,MSUK-D75-268-3,12,12,,,,,,,,
