"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:13:34 a.m. PDT","24594147221","Order","702-1296325-7976259","MSCA-D70-2-2","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Black, S","1","amazon.ca","Amazon","North York","Ontario","M2K 0C","Combined TCS+MTC","26.99","3.51","0","0","0","0","0","0","0","0","-3.51","-4.59","-6.73","0","0","15.67"
"Oct 1, 2025 2:06:42 a.m. PDT","24594147221","Order","701-5592447-7553839","MSCA-D70-2-3","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Black, M","1","amazon.ca","Amazon","Edmonton","Alberta","T5T5A","Combined TCS+MTC","26.99","1.35","0","0","0","0","0","0","0","0","-1.35","-4.59","-7.23","0","0","15.17"
"Oct 1, 2025 4:02:14 a.m. PDT","24594147221","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.61","-12.61"
"Oct 1, 2025 4:17:04 a.m. PDT","24594147221","Order","701-9874106-3741040","MSCA-D76-206-3","ANGOOL Sports Bras for Women Seamless Backless Criss Cross Strappy Sports Bra Without Underwire for Workout Gym Yoga, Black+Grey+White, M","1","amazon.ca","Amazon","Edmonton","Alberta","T6E 4R","Combined TCS+MTC","30.39","1.52","0","0","0","0","0","0","0","0","-1.52","-5.17","0","0","0","25.22"
"Oct 1, 2025 5:44:56 a.m. PDT","24594147221","Order","702-4561006-9323415","MSCA-D77-2-2","ANGOOL Racerback Bras for Women Wire Free Sexy V Neck Lace Bralette Adjustable Strap Full Coverage Padded Bra, Black, S","2","amazon.ca","Amazon","Les Escoumins","Quebec","G0T 1K","Combined TCS+MTC","49.18","7.36","0","0","0","0","0","0","0","0","-7.36","-8.36","-13.46","0","0","27.36"
"Oct 1, 2025 6:21:43 a.m. PDT","24594147221","Fulfilment by Amazon customer return fee","702-8136606-3613044","X004L4MWZX","FBA Customer Return Per Unit Fee (Clothing & Shoes)","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-5.28","0","0","-5.28"
"Oct 1, 2025 7:15:54 a.m. PDT","24594147221","Order","701-2556771-2031443","MSCA-D77-7-6","ANGOOL Racerback Bras for Women Wire Free Sexy V Neck Lace Bralette Adjustable Strap Full Coverage Padded Bra, Brown, XXL","1","amazon.ca","Amazon","Havre-Saint-Pierre","Quebec","G0G 1P","Combined TCS+MTC","26.99","4.04","0","0","0","0","0","0","0","0","-4.04","-4.59","-6.73","0","0","15.67"
"Oct 1, 2025 10:45:56 a.m. PDT","24594147221","Refund","702-8186629-0600216","MSCA-D70-5-5","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Beige, XL","1","amazon.ca","Amazon","Saint-Laurent","Quebec","H4L 4R","Combined TCS+MTC","-28.19","-4.22","0","0","0","0","0","0","0","0","4.22","3.83","0","0","0","-24.36"
"Oct 1, 2025 10:50:27 a.m. PDT","24594147221","Order","701-4602599-3539438","MSCA-D76-208-3","ANGOOL Sports Bras for Women Seamless Backless Criss Cross Strappy Sports Bra Without Underwire for Workout Gym Yoga, Black+Grey+Green, M","1","amazon.ca","Amazon","London","Ontario","N5V 1B","Combined TCS+MTC","31.99","4.16","1.16","0","0","0","0","0","-1.16","0","-4.16","-5.44","-4.20","0","0","22.35"
"Oct 1, 2025 11:01:33 a.m. PDT","24594147221","Order","701-6889283-7852238","MSCA-D70-7-2","ANGOOL Wireless Strapless Bra for Women Seamless Push Up Non-Slip Full Support Non Removable Padded Bandeau Bra, Brown, S","1","amazon.ca","Amazon","Brantford","Ontario","N3R 6W","Combined TCS+MTC","26.99","3.51","2.33","0","0","0","0","0","-2.33","0","-3.51","-4.59","-6.73","0","0","15.67"
