"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 22:00:40 UTC","25003038762","Bestellung","028-1703263-1850702","MS-D06-20-2","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, S Fit 65B 65C 65D 70BC 70D 75BC, Schwarz+grau","1","amazon.de","Amazon","Bad Freienwalde (Oder)","Deutschland","16259","MarketplaceFacilitator","18,48","3,51","0","0","0","0","0","0","-3,51","-3,30","-3,09","0","0","12,09"
"30.06.2025 22:01:30 UTC","25003038762","Gebühren für Kundenrücksendungen mit Versand durch Amazon","028-1173175-5169122","X0027UDI71","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,58","0","0","-1,58"
"30.06.2025 22:01:38 UTC","25003038762","Bestellung","305-5863688-3807548","MS-D06-206-3","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz + Grau + Weiß, M Fit 70DD 70E 75D 80BC 85BC","1","amazon.de","Amazon","Neidling","","3110","MarketplaceFacilitator","23,52","4,70","0","0","0","0","0","0","-4,70","-4,20","-3,61","0","0","15,71"
"30.06.2025 22:01:55 UTC","25003038762","Erstattung","305-0408342-1329927","MSEU-D71-2-3","ANGOOL Damen BH Ohne Bügel Mittlerer Halt Sport BH Rückenverschluss Verstellbar Träger Klassische Schlaf Bra Gepolstert V-Ausschnitt Seamless, Schw","1","amazon.de","Amazon","Brixen i. Th.","Tirol","6364","MarketplaceFacilitator","-15,12","-3,02","0","0","0","0","0","0","3,02","2,16","0","0","0","-12,96"
"30.06.2025 22:03:35 UTC","25003038762","Bestellung","305-8099580-6620325","MSEU-D70-5-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Saterland","","26683","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,16","0","0","9,26"
"30.06.2025 22:03:57 UTC","25003038762","Bestellung","303-7635550-1353121","MSEU-D70-2-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Lohmar","NRW","53797","MarketplaceFacilitator","13,61","2,58","0","0","0","0","0","0","-2,58","-2,43","-3,16","0","0","8,02"
"30.06.2025 22:04:50 UTC","25003038762","Erstattung","304-6953779-8803519","MSEU-D70-5-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Langweid A. Lech","Bayern","86462","MarketplaceFacilitator","-13,61","-2,58","0","0","0","0","0","0","2,58","1,94","0","0","0","-11,67"
"30.06.2025 22:05:07 UTC","25003038762","Erstattung","304-8580823-4001122","MSEU-D75-206-2","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Frankfurt am Main","Hessen","60594","MarketplaceFacilitator","-29,40","-5,59","0","0","0","0","2,94","0,56","5,03","3,78","0","0","0","-22,68"
"30.06.2025 22:05:10 UTC","25003038762","Erstattung","302-8145098-6953935","MS-D06-348-5","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Rosa blau azurblau, XL Fit 85DD 90D 90DD 95BC 95D","1","amazon.de","Amazon","essen","Nordrhein-Westfalen","45131","MarketplaceFacilitator","-23,52","-4,47","0","0","0","0","0","0","4,47","3,36","0","0","0","-20,16"
"30.06.2025 22:05:55 UTC","25003038762","Erstattung","303-9088497-4921907","MS-D06-206-3","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Schwarz + Grau + Weiß, M Fit 70DD 70E 75D 80BC 85BC","1","amazon.de","Amazon","Spangdahlem","Rheinland-Pfalz","54529","MarketplaceFacilitator","-23,52","-4,47","0","0","0","0","0","0","4,47","3,36","0","0","0","-20,16"
