"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.09.2025 22:04:35 UTC","25624010702","Erstattung","304-1240441-6773150","MSEU-D73-209-3","ANGOOL Sport BH Damen ohne Bügel Crossback Spaghettiträger Bustier Damen Gepolstert Feste Cup Seamless Rückenkreuz Sport Top Yoga Joggen Gym, Schwa","1","amazon.de","Amazon","Lieboch","","8501","MarketplaceFacilitator","-23,52","-4,70","0","0","0","0","0","0","4,70","3,36","0","0","0","-20,16"
"30.09.2025 22:05:04 UTC","25624010702","Bestellung","303-8719658-2121116","MS-D06-209-5-1","ANGOOL Sport BH Damen Stark Halt Push Up Ohne Bügel Gepolstert Sport Bustier Seamless Sport BH Racerback Sports Bras Fuer Yoga Fitness Joggen Trainin","1","amazon.de","Amazon","Hannover","","30161","MarketplaceFacilitator","21,17","4,02","0","0","0","0","0","0","-4,02","-3,78","-3,26","0","0","14,13"
"30.09.2025 22:12:58 UTC","25624010702","Bestellung","303-8844339-4219506","MSEU-D70-5-5","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Wien","","1220","MarketplaceFacilitator","12,09","2,42","0","0","0","0","0","0","-2,42","-1,15","-3,09","0","0","7,85"
"30.09.2025 22:21:22 UTC","25624010702","Gebühren für Kundenrücksendungen mit Versand durch Amazon","302-4574101-3443521","X0020UUN2V","Gebühr für Warenrücksendungen pro Einheit bei Versand durch Amazon (Bekleidung und Schuhe)","","Amazon.de","","","","","","0","0","0","0","0","0","0","0","0","0","-1,81","0","0","-1,81"
"30.09.2025 22:38:57 UTC","25624010702","Bestellung","028-4297664-4720348","MSEU-D70-6-3","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Münster","","48149","MarketplaceFacilitator","12,09","2,30","0","0","0","0","0","0","-2,30","-1,15","-3,16","0","0","7,78"
"30.09.2025 22:39:55 UTC","25624010702","Erstattung","028-2504351-8395509","MSEU-D75-20-2","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Niederkassel","","53859","MarketplaceFacilitator","-19,66","-3,73","0","0","0","0","0","0","3,73","2,81","0","0","0","-16,85"
"30.09.2025 22:45:15 UTC","25624010702","Bestellung","302-5047173-1814756","MSEU-D75-2-3","ANGOOL Sport BH Damen ohne Bügel Racerback Spaghetti Träger Sport Bustier Damen Gepolstert Seamless Y-Rücken Abnehmbare Cup für Low-Impact Trainin","1","amazon.de","Amazon","Aeugst am Albis","","89","MarketplaceFacilitator","14,36","1,16","1,30","0,10","0","0","-1,30","-0,10","-1,16","-2,56","-3,47","0","0","8,33"
"30.09.2025 22:46:43 UTC","25624010702","Bestellung","305-7931411-2411530","MSEU-D70-6-2","ANGOOL Damen Trägerloser BH ohne Bügel Push Up BH ohne Träger Feste Polster Bandeau Top Damen Seamless mit Transparente und Primärfarbige Träger,","1","amazon.de","Amazon","Loiching","Bayern","84180","MarketplaceFacilitator","12,09","2,30","0","0","0","0","0","0","-2,30","-1,15","-3,16","0","0","7,78"
"30.09.2025 22:47:45 UTC","25624010702","Erstattung","304-8516307-3359506","MS-D06-209-5-1","ANGOOL Sport BH Damen Stark Halt Push Up Ohne Bügel Gepolstert Sport Bustier Seamless Sport BH Racerback Sports Bras Fuer Yoga Fitness Joggen Trainin","1","amazon.de","Amazon","Köln","","51067","MarketplaceFacilitator","-21,17","-4,02","0","0","0","0","0","0","4,02","3,02","0","0","0","-18,15"
"30.09.2025 22:50:19 UTC","25624010702","Erstattung","305-6368890-3009138","MS-D06-348-4","ANGOOL Damen Komfort Klassische Racerback Sport BH Top Fuer Yoga Fitness-Training, Rosa blau azurblau, L Fit 80D 80DD 80E 85D 90BC 90D","1","amazon.de","Amazon","Rastede","","26180","MarketplaceFacilitator","-21,17","-4,02","0","0","0","0","2,12","0,40","3,62","2,72","0","0","0","-16,33"
