"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jul 1, 2025 12:00:23 AM PDT","23868425251","Liquidations","21469861002551","X00413QL0B","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black M","1","","Standard Orders","","","","","","0.27","0","0","0","0","0","0","0","0","0","0","0","0","-0.29","0","-0.02"
"Jul 1, 2025 12:01:49 AM PDT","23868425251","Order","112-9499720-5572269","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","BALTIMORE","MD","21239","MarketplaceFacilitator","16.82","1.01","0","0","0","0","0","0","0","0","-1.01","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:01:53 AM PDT","23868425251","Order","112-7581058-2545022","MSUS-D33-5-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige XL","1","amazon.com","Standard Orders","Amazon","BALTIMORE","MD","21211","MarketplaceFacilitator","16.82","1.01","0","0","0","0","0","0","0","0","-1.01","-1.68","-5.90","0","0","9.24"
"Jul 1, 2025 12:05:11 AM PDT","23868425251","Order","112-3024339-3661036","MSUS-D33-7-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe L","1","amazon.com","Standard Orders","Amazon","ATLANTA","GA","30329","MarketplaceFacilitator","15.83","1.27","0","0","0","0","0","0","0","0","-1.27","-1.58","-4.67","0","0","9.58"
"Jul 1, 2025 12:06:16 AM PDT","23868425251","Order","112-8031004-1597033","MSUS-D33-2-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black 2XL","1","amazon.com","Standard Orders","Amazon","CHICAGO","IL","60632","MarketplaceFacilitator","18.69","1.92","0","0","0","0","0","0","0","0","-1.92","-1.87","-4.67","0","0","12.15"
"Jul 1, 2025 12:12:39 AM PDT","23868425251","Order","112-4118403-5338654","MSUS-D33-265-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Beige XL","1","amazon.com","Standard Orders","Amazon","VILLA PARK","IL","60181","MarketplaceFacilitator","30.53","2.44","0","0","0","0","0","0","0","0","-2.44","-5.19","-6.14","0","0","19.20"
"Jul 1, 2025 12:13:29 AM PDT","23868425251","Order","113-3792644-4389864","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","Norman","Oklahoma","73026","MarketplaceFacilitator","16.82","1.47","0","0","0","0","0","0","0","0","-1.47","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:14:11 AM PDT","23868425251","Order","111-1396144-5799417","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","HENDERSON","NV","89074","MarketplaceFacilitator","16.82","1.41","0.50","0","0","0","0","0","-0.50","0","-1.41","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:14:16 AM PDT","23868425251","Liquidations","21507348852551","B0DQL5CCRQ","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","","Standard Orders","","","","","","0.27","0","0","0","0","0","0","0","0","0","0","0","0","-0.29","0","-0.02"
"Jul 1, 2025 12:15:31 AM PDT","23868425251","Refund","111-5118421-6911445","MSUS-D33-7-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe L","1","amazon.com","Standard Orders","Amazon","RIVERSIDE","CA","92504","MarketplaceFacilitator","-21.99","-1.92","-0.99","0","0","0","0","0","0.99","0","1.92","2.99","0","0","0","-19.00"
"Jul 1, 2025 12:25:07 AM PDT","23868425251","Adjustment","111-8411724-7233866","MSUS-D33-7-5","FBA Inventory Reimbursement - Customer Service Issue","1","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.35","12.35"
"Jul 1, 2025 12:25:58 AM PDT","23868425251","Order","114-1570802-2459400","MSUS-D33-5-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige S","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68135","MarketplaceFacilitator","16.82","0.93","0","0","0","0","0","0","0","0","-0.93","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:25:58 AM PDT","23868425251","Order","114-1570802-2459400","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68135","MarketplaceFacilitator","16.82","0.93","0","0","0","0","0","0","0","0","-0.93","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:31:44 AM PDT","23868425251","Liquidations","21648451936551","X00413QKJN","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black XL","1","","Standard Orders","","","","","","0.27","0","0","0","0","0","0","0","0","0","0","0","0","-0.29","0","-0.02"
"Jul 1, 2025 12:35:41 AM PDT","23868425251","FBA Customer Return Fee","111-8813402-7159429","X004138KXH","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Jul 1, 2025 12:36:11 AM PDT","23868425251","Order","114-0350418-4799419","MSUS-D33-7-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe L","1","amazon.com","Standard Orders","Amazon","MOUNT HOLLY","NC","28120","MarketplaceFacilitator","15.83","1.11","0","0","0","0","0","0","0","0","-1.11","-1.58","-4.67","0","0","9.58"
"Jul 1, 2025 12:39:11 AM PDT","23868425251","FBA Customer Return Fee","113-5720342-9083430","X00413QKJN","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.62","0","0","-2.62"
"Jul 1, 2025 12:42:57 AM PDT","23868425251","Order","111-6450383-9377052","MSUS-D33-267-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe L","1","amazon.com","Standard Orders","Amazon","LONG BEACH","CA","90805","MarketplaceFacilitator","33.14","3.48","0","0","0","0","0","0","0","0","-3.48","-5.63","-5.90","0","0","21.61"
"Jul 1, 2025 12:43:02 AM PDT","23868425251","Order","111-2113898-5861011","MSUS-D33-25-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+Beige L","1","amazon.com","Standard Orders","Amazon","ALLEN","TX","75002","MarketplaceFacilitator","26.77","2.21","0","0","0","0","0","0","0","0","-2.21","-4.55","-5.12","0","0","17.10"
"Jul 1, 2025 12:44:00 AM PDT","23868425251","Liquidations","21856669853551","X00413MYBL","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","","Standard Orders","","","","","","0.33","0","0","0","0","0","0","0","0","0","0","0","0","-0.30","0","0.03"
"Jul 1, 2025 12:44:49 AM PDT","23868425251","Liquidations","21476589488551","X00413EC4X","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","","Standard Orders","","","","","","0.27","0","0","0","0","0","0","0","0","0","0","0","0","-0.29","0","-0.02"
"Jul 1, 2025 12:47:34 AM PDT","23868425251","Order","114-6378655-2897829","MSUS-D33-5-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige 2XL","1","amazon.com","Standard Orders","Amazon","RIO RANCHO","NM","87144","MarketplaceFacilitator","17.22","1.28","0","0","0","0","0","0","0","0","-1.28","-1.72","-5.12","0","0","10.38"
"Jul 1, 2025 12:47:34 AM PDT","23868425251","Order","114-6378655-2897829","MSUS-D33-5-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige M","1","amazon.com","Standard Orders","Amazon","RIO RANCHO","NM","87144","MarketplaceFacilitator","16.82","1.25","0","0","0","0","0","0","0","0","-1.25","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 12:47:48 AM PDT","23868425251","FBA Customer Return Fee","113-8060765-6769003","X00413MYBL","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Jul 1, 2025 12:49:55 AM PDT","23868425251","Order","111-9834223-3521031","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","TUCSON","AZ","85719","MarketplaceFacilitator","16.82","1.46","0","0","0","0","0","0","0","0","-1.46","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 1:01:47 AM PDT","23868425251","Order","112-7924430-0452213","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","OSHKOSH","WI","54904","MarketplaceFacilitator","21.99","0.99","0","0","0","0","0","0","-2.20","0","-0.99","-1.98","-4.67","0","0","13.14"
"Jul 1, 2025 1:03:49 AM PDT","23868425251","Order","112-7309263-5242659","MSUS-D33-7-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe L","1","amazon.com","Standard Orders","Amazon","EDISON","NJ","08817","MarketplaceFacilitator","15.83","0","0","0","0","0","0","0","0","0","0","-1.58","-4.67","0","0","9.58"
"Jul 1, 2025 1:04:40 AM PDT","23868425251","Order","112-2076773-9527468","MSUS-D33-5-2","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige S","1","amazon.com","Standard Orders","Amazon","GREEN BAY","WI","54313","MarketplaceFacilitator","16.82","0.93","0","0","0","0","0","0","0","0","-0.93","-1.68","-4.67","0","0","10.47"
"Jul 1, 2025 1:04:56 AM PDT","23868425251","Order","111-2745912-0306606","MSUS-D33-25-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+Beige XL","1","amazon.com","Standard Orders","Amazon","ODENTON","MD","21113","MarketplaceFacilitator","27.40","1.64","0","0","0","0","0","0","0","0","-1.64","-4.66","-5.90","0","0","16.84"
"Jul 1, 2025 1:06:40 AM PDT","23868425251","Order","111-6352891-8675407","MSUS-D33-267-3","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe M","1","amazon.com","Standard Orders","Amazon","BLOOMFIELD","NJ","07003","MarketplaceFacilitator","38.99","0","0","0","0","0","0","0","-3.90","0","0","-5.97","-5.90","0","0","23.22"
"Jul 1, 2025 1:16:36 AM PDT","23868425251","Order","114-0620781-3947453","MSUS-D33-2-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","amazon.com","Standard Orders","Amazon","BAYONNE","NJ","07002","MarketplaceFacilitator","18.69","0","0","0","0","0","0","0","0","0","0","-1.87","-4.67","0","0","12.15"
"Jul 1, 2025 1:19:28 AM PDT","23868425251","Refund","113-7320970-1089833","MSUS-D33-5-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige L","1","amazon.com","Standard Orders","Amazon","Tucson","AZ","85746","MarketplaceFacilitator","-21.99","-1.34","-1.50","0","0","0","0","0","1.50","0","1.34","2.99","0","0","0","-19.00"
