"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Oct 1, 2025 12:02:52 AM PDT","24591153761","FBA Customer Return Fee","112-5889551-7156231","X004138KXH","FBA Customer Return Per Unit Fee (Apparel & Shoes)","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.19","0","0","-2.19"
"Oct 1, 2025 12:07:18 AM PDT","24591153761","Order","111-4668375-3549023","MSUS-D33-5-5","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Beige XL","1","amazon.com","Standard Orders","Amazon","TOTOWA","NJ","07512","MarketplaceFacilitator","15.14","0","0","0","0","0","0","0","0","0","0","-1.51","-4.67","0","0","8.96"
"Oct 1, 2025 12:27:33 AM PDT","24591153761","Order","113-8066185-0053824","MSUS-D33-2-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","amazon.com","Standard Orders","Amazon","NATCHITOCHES","LA","71457","MarketplaceFacilitator","15.83","1.66","0","0","0","0","0","0","0","0","-1.66","-1.58","-4.67","0","0","9.58"
"Oct 1, 2025 12:56:29 AM PDT","24591153761","Order","111-6725957-1293042","MSUS-D33-7-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe 2XL","1","amazon.com","Standard Orders","Amazon","LONG BEACH","CA","90805","MarketplaceFacilitator","15.83","1.66","0","0","0","0","0","0","0","0","-1.66","-1.58","-5.12","0","0","9.13"
"Oct 1, 2025 1:01:52 AM PDT","24591153761","Order","111-1266800-2197051","MSUS-D33-7-6","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Coffe 2XL","1","amazon.com","Standard Orders","Amazon","CASCADE","MD","21719","MarketplaceFacilitator","15.83","0.95","0","0","0","0","0","0","0","0","-0.95","-1.58","-5.12","0","0","9.13"
"Oct 1, 2025 1:01:52 AM PDT","24591153761","Order","111-1266800-2197051","MSUS-D33-6-6-A","Gnowann Strapless Bras for Women Non-Slip Silicone Wireless Strapless Bra Padded Tube Top Seamless Bandeau Bralette White 2XL","1","amazon.com","Standard Orders","Amazon","CASCADE","MD","21719","MarketplaceFacilitator","14.51","0.87","0","0","0","0","0","0","0","0","-0.87","-0.73","-5.90","0","0","7.88"
"Oct 1, 2025 1:14:52 AM PDT","24591153761","Order","112-7130019-6329011","MSUS-D59-2-5","Gnowann Women's Plunge Bra Deep V-Neck Wireless Bralettes for Women Adjustable Padded Low Back Bra Black XL","1","amazon.com","Standard Orders","Amazon","Marana","Arizona","85653","MarketplaceFacilitator","13.99","0.60","0","0","0","0","0","0","-7.00","0","-0.60","-0.35","-5.12","0","0","1.52"
"Oct 1, 2025 1:17:10 AM PDT","24591153761","Order","114-4663446-4236212","MSUS-D33-2-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black L","1","amazon.com","Standard Orders","Amazon","HOUSTON","TX","77041","MarketplaceFacilitator","15.83","1.31","0","0","0","0","0","0","0","0","-1.31","-1.58","-4.67","0","0","9.58"
"Oct 1, 2025 1:18:36 AM PDT","24591153761","Order","114-0975925-5945033","MSUS-D33-267-4","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black+White+Coffe L","1","amazon.com","Standard Orders","Amazon","LA MESA","CA","91941","MarketplaceFacilitator","27.29","2.11","0","0","0","0","0","0","0","0","-2.11","-4.64","-5.90","0","0","16.75"
"Oct 1, 2025 1:27:15 AM PDT","24591153761","Liquidations","29594920540551","X004138KLJ","Gnowann Strapless Bras for Women Non-Slip Silicone Bandeau Bralette Seamless Wireless Strapless Bra Padded Tube Top Black S","1","","Standard Orders","","","","","","0.33","0","0","0","0","0","0","0","0","0","0","0","0","-0.40","0","-0.07"
