"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"30 Sept 2025 23:01:38 UTC","25543285672","Order","204-8850465-7938720","MSUK-D70-6-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, White, XL","1","amazon.co.uk","Amazon","Stockport","Cheshire","SK7 2","MarketplaceFacilitator","13.92","2.79","4.16","0.83","0","0","0","0","-3.62","-2.51","-7.10","-0.19","0","8.28"
"30 Sept 2025 23:02:07 UTC","25543285672","Order","203-9559589-5284360","MS-D06-2-3-","ANGOOL Sports Bras for Women, Racerback Yoga Bra Padded Mid Impact Support for Workout Fitness Black","1","amazon.co.uk","Amazon","Stourbridge","West Midlands","DY9 0","MarketplaceFacilitator","10.82","2.17","0","0","0","0","0","0","-2.17","-1.04","-2.97","-0.08","0","6.73"
"30 Sept 2025 23:12:27 UTC","25543285672","Order","203-2407521-3532329","MSUK-D70-5-6","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, XXL","1","amazon.co.uk","Amazon","Maldon","Essex","CM9 6","MarketplaceFacilitator","13.92","2.79","0.62","0.13","0","0","-0.62","-0.13","-2.79","-2.51","-2.94","-0.11","0","8.36"
"30 Sept 2025 23:13:22 UTC","25543285672","Order","202-5194042-6668353","MSUK-D75-206-2","ANGOOL Sports Bras Women Y Back Wireless Removable Pads Bra Lightweight Racerback Spaghetti Straps Top for Yoga Gym Workout, Black+Grey+White, S","1","amazon.co.uk","Amazon","CHEADLE","Cheshire","SK8 1","MarketplaceFacilitator","21.66","4.33","0","0","0","0","0","0","-4.33","-3.90","-3.16","-0.14","0","14.46"
"30 Sept 2025 23:38:10 UTC","25543285672","Order","204-4485649-2540334","MSUK-D70-2-5","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Black, XL","1","amazon.co.uk","Amazon","BROMLEY","","BR1 4","MarketplaceFacilitator","12.97","2.60","0","0","0","0","0","0","-2.60","-2.34","-2.94","-0.11","0","7.58"
"30 Sept 2025 23:57:54 UTC","25543285672","FBA Customer Return Fee","205-9263434-3499553","X0027CT3PP","Fulfilment by Amazon customer return per-unit fee (Clothing & Shoes)","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","-1.47","0","0","-1.47"
"1 Oct 2025 00:09:53 UTC","25543285672","FBA Customer Return Fee","202-2779588-2679560","X001WYBDZ7","Fulfilment by Amazon customer return per-unit fee (Clothing & Shoes)","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","-1.47","0","0","-1.47"
"1 Oct 2025 00:49:53 UTC","25543285672","FBA Customer Return Fee","202-2921635-0604350","X001X1JEPP","Fulfilment by Amazon customer return per-unit fee (Clothing & Shoes)","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","-1.42","0","0","-1.42"
"1 Oct 2025 02:02:11 UTC","25543285672","Amazon Fees","547d1ded-77c8-4459-b661-b9e610c7d1ac","","Voucher performance-based fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","-0.92","0","0","0","-0.92"
"1 Oct 2025 02:13:11 UTC","25543285672","Amazon Fees","547d1ded-77c8-4459-b661-b9e610c7d1ac","","Voucher participation fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","-2.00","0","0","0","-2.00"
"1 Oct 2025 06:57:25 UTC","25543285672","Order","026-0135404-0576355","MSUK-D70-5-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, M","1","amazon.co.uk","Amazon","DORKING","","RH5 4","MarketplaceFacilitator","12.97","2.60","0.56","0.11","0","0","-0.56","-0.11","-2.60","-2.34","-2.94","-0.11","0","7.58"
"1 Oct 2025 07:28:21 UTC","25543285672","FBA Customer Return Fee","206-1748792-1292306","X0027D5OXT","Fulfilment by Amazon customer return per-unit fee (Clothing & Shoes)","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","-1.47","0","0","-1.47"
"1 Oct 2025 07:54:41 UTC","25543285672","FBA Customer Return Fee","202-8184454-3321149","X0027CXIW9","Fulfilment by Amazon customer return per-unit fee (Clothing & Shoes)","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","-1.47","0","0","-1.47"
"1 Oct 2025 11:01:47 UTC","25636726972","Service Fee","","","Subscription","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-10.51","-10.51"
"1 Oct 2025 12:26:06 UTC","25636726972","Order","026-3053859-8374726","MSUK-D70-5-3","ANGOOL Women's Bandeau Bra Strapless Non-Wired Padded Seamless Multiway Convertible Straps Full Support Non-Slip, Beige, M","1","amazon.co.uk","Amazon","St. Helier","Jersey","","MarketplaceFacilitator","12.97","0.65","0","0","0","0","0","0","-0.65","-2.34","-2.94","-0.11","0","7.58"
