店铺,发票编号,发票状态,支付类型,账单周期,开具时间,付款币种,账单金额,广告活动,活动ID,计价方式,点击,平均点击单价,费用,其他费分摊,取值来源,承担商品,广告类型
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D28手动广泛,205478948551481,CPC,6,0.42,2.49,0.00,业务报告,"MSUK-D28-209-3,MSUK-D28-268-3,MSUK-D28-2-5,MSUK-D28-20-5,MSUK-D28-206-5,MSUK-D28-209-2,MSUK-D28-20-2,MSUK-D28-209-5,MSUK-D28-6-5",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D33手动,206422330535806,CPC,59,0.39,23.05,0.00,业务报告,"MSUK-D33-5-5,MSUK-D33-6-5,MSUK-D33-26-2,MSUK-D33-26-4,MSUK-D33-2-4,MSUK-D33-25-4",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D33自动,227191886882379,CPC,63,0.26,16.38,0.00,业务报告,"MSUK-D33-2-4,MSUK-D33-25-4,MSUK-D33-26-4,MSUK-D33-6-5,MSUK-D33-26-2,MSUK-D33-5-5",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D42手动,271743845417844,CPC,33,0.41,13.58,0.00,业务报告,"MSUK-D42-2-4,MSUK-D42-6-5,MSUK-D42-5-4,MSUK-D42-7-5,MSUK-D42-6-3,MSUK-D42-5-2,MSUK-D42-7-2,MSUK-D42-6-2,MSUK-D42-2-5,MSUK-D42-2-3,MSUK-D42-7-4,MSUK-D42-256-4,MSUK-D42-256-3,MSUK-D42-2-2,MSUK-D42-256-5,MSUK-D42-25-3,MSUK-D42-256-2,MSUK-D42-25-2,MSUK-D42-25-5,MSUK-D42-6-4,MSUK-D42-7-3,MSUK-D42-5-5,MSUK-D42-5-3,MSUK-D42-25-4",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D63-精准3词,283094973144205,CPC,42,0.34,14.31,0.00,业务报告,"MSUK-D63-509-5,MSUK-D63-205-2,MSUK-D63-20-3,MSUK-D63-20-5,MSUK-D63-20-2,MSUK-D63-205-4,MSUK-D63-256-3,MSUK-D63-209-2,MSUK-D63-206-2,MSUK-D63-25-3,MSUK-D63-209-4,MSUK-D63-205-5,MSUK-D63-206-5,MSUK-D63-25-4",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D75自动,292856546679709,CPC,57,0.37,20.91,0.00,业务报告,"MSUK-D75-268-2,MSUK-D75-206-5,MSUK-D75-268-4,MSUK-D75-206-2,MSUK-D75-2-4,MSUK-D75-2-5,MSUK-D75-208-4,MSUK-D75-2-3,MSUK-D75-2-2,MSUK-D75-20-3,MSUK-D75-20-4,MSUK-D75-206-3,MSUK-D75-20-2,MSUK-D75-206-4,MSUK-D75-208-2,MSUK-D75-208-5,MSUK-D75-20-5,MSUK-D75-208-3,MSUK-D75-268-5,MSUK-D75-268-3",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D70自动,296350599943294,CPC,101,0.40,40.71,0.00,业务报告,"MSUK-D70-5-3,MSUK-D70-6-4,MSUK-D70-5-6,MSUK-D70-6-5,MSUK-D70-7-3,MSUK-D70-6-3,MSUK-D70-5-5,MSUK-D70-7-2,MSUK-D70-6-2,MSUK-D70-2-2,MSUK-D70-2-4,MSUK-D70-5-4,MSUK-D70-5-2,MSUK-D70-2-5,MSUK-D70-2-6,MSUK-D70-7-6,MSUK-D70-6-6,MSUK-D70-7-5,MSUK-D70-2-3,MSUK-D70-7-4",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D70手动,307778534079657,CPC,84,0.43,35.94,0.00,业务报告,"MSUK-D70-2-6,MSUK-D70-7-5,MSUK-D70-6-3,MSUK-D70-2-5,MSUK-D70-5-6,MSUK-D70-2-3,MSUK-D70-7-3,MSUK-D70-5-3,MSUK-D70-7-2,MSUK-D70-2-2,MSUK-D70-7-6,MSUK-D70-6-2,MSUK-D70-5-2,MSUK-D70-7-4,MSUK-D70-2-4,MSUK-D70-5-5,MSUK-D70-5-4,MSUK-D70-6-4,MSUK-D70-6-6,MSUK-D70-6-5",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D47-手动广泛,316931612471628,CPC,65,0.43,27.83,0.00,业务报告,"MSUK-D47-6-2,MSUK-D47-7-3,MSUK-D47-6-5,MSUK-D47-2-2,MSUK-D47-2-3,MSUK-D47-6-6,MSUK-D47-7-5,MSUK-D47-6-3,MSUK-D47-2-6,MSUK-D47-6-4,MSUK-D47-5-5,MSUK-D47-5-6,MSUK-D47-5-3,MSUK-D47-7-4,MSUK-D47-5-4,MSUK-D47-5-2,MSUK-D47-2-4,MSUK-D47-2-5",SPONSORED PRODUCTS
慕声欧洲-UK,2012576M7PA25,PAID_IN_FULL,CREDIT_CARD,2025-06-27至2025-07-02,2025-07-01,GBP,513.39,D22手动精准,32209886985230,CPC,32,0.36,11.63,0.00,业务报告,"MS-D22-25-2,MS-D22-2-3,MS-D22-5-2,MS-D22-5-4,MS-D22-0-5,MS-D22-506-4,MS-D22-0-2,MS-D22-5-3,MS-D22-25-5,MS-D22-7-4,MS-D22-27-5,MS-D22-6-5,MS-D22-5-5,MS-D22-25-4,MS-D22-506-2,MS-D22-2-5,MS-D22-25-3,MS-D22-2-2,MS-D22-27-3,MS-D22-7-2,MS-D22-7-5,MS-D22-205-4",SPONSORED PRODUCTS
