rate,actual_rate_date
7.0789,28/11/2025
8.2078,28/11/2025
9.3697,28/11/2025
5.046,28/11/2025
7.0779,27/11/2025
8.2056,27/11/2025
9.3671,27/11/2025
5.0378,27/11/2025
7.0796,26/11/2025
8.19,26/11/2025
9.3222,26/11/2025
5.0209,26/11/2025
7.0826,25/11/2025
8.1687,25/11/2025
9.2939,25/11/2025
5.0258,25/11/2025
7.0847,24/11/2025
8.1638,24/11/2025
9.2903,24/11/2025
5.0331,24/11/2025
7.0875,21/11/2025
8.1826,21/11/2025
9.2857,21/11/2025
5.0386,21/11/2025
7.0905,20/11/2025
8.1918,20/11/2025
9.2742,20/11/2025
5.0575,20/11/2025
7.0872,19/11/2025
8.2164,19/11/2025
9.3295,19/11/2025
5.0743,19/11/2025
7.0856,18/11/2025
8.2223,18/11/2025
9.3348,18/11/2025
5.051,18/11/2025
7.0816,17/11/2025
8.2296,17/11/2025
9.3274,17/11/2025
5.0533,17/11/2025
7.0825,14/11/2025
8.2403,14/11/2025
9.3166,14/11/2025
5.0492,14/11/2025
7.0865,13/11/2025
8.2223,13/11/2025
9.3166,13/11/2025
5.0659,13/11/2025
7.0833,12/11/2025
8.2152,12/11/2025
9.3273,12/11/2025
5.0624,12/11/2025
7.0866,11/11/2025
8.1986,11/11/2025
9.3465,11/11/2025
5.0607,11/11/2025
7.0856,10/11/2025
8.1942,10/11/2025
9.3287,10/11/2025
5.0541,10/11/2025
7.0836,7/11/2025
8.1892,7/11/2025
9.3187,7/11/2025
5.0257,7/11/2025
7.0865,6/11/2025
8.1621,6/11/2025
9.2674,6/11/2025
5.0344,6/11/2025
7.0901,5/11/2025
8.1586,5/11/2025
9.2554,5/11/2025
5.0407,5/11/2025
7.0885,4/11/2025
8.1759,4/11/2025
9.3277,4/11/2025
5.0526,4/11/2025
7.0867,3/11/2025
8.1845,3/11/2025
9.3264,3/11/2025
5.0655,3/11/2025
7.088,31/10/2025
8.2138,31/10/2025
9.3414,31/10/2025
5.079,31/10/2025
7.0864,30/10/2025
8.2334,30/10/2025
9.3647,30/10/2025
5.0888,30/10/2025
7.0843,29/10/2025
8.2582,29/10/2025
9.4071,29/10/2025
5.0836,29/10/2025
7.0856,28/10/2025
8.2622,28/10/2025
9.4611,28/10/2025
5.0708,28/10/2025
7.0881,27/10/2025
8.2546,27/10/2025
9.4563,27/10/2025
5.0739,27/10/2025
7.0928,24/10/2025
8.2486,24/10/2025
9.4672,24/10/2025
5.0777,24/10/2025
7.0918,23/10/2025
8.2434,23/10/2025
9.4851,23/10/2025
5.0778,23/10/2025
7.0954,22/10/2025
8.245,22/10/2025
9.5046,22/10/2025
5.0721,22/10/2025
7.093,21/10/2025
8.2734,21/10/2025
9.5241,21/10/2025
5.0633,21/10/2025
7.0973,20/10/2025
8.2896,20/10/2025
9.5497,20/10/2025
5.0758,20/10/2025
7.0949,17/10/2025
8.3074,17/10/2025
9.5461,17/10/2025
5.0557,17/10/2025
7.0968,16/10/2025
8.2755,16/10/2025
9.521,16/10/2025
5.0581,16/10/2025
7.0995,15/10/2025
8.2498,15/10/2025
9.4726,15/10/2025
5.064,15/10/2025
7.1021,14/10/2025
8.2257,14/10/2025
9.4841,14/10/2025
5.0681,14/10/2025
7.1007,13/10/2025
8.2524,13/10/2025
9.4874,13/10/2025
5.081,13/10/2025
7.1048,10/10/2025
8.2338,10/10/2025
9.4731,10/10/2025
5.0805,10/10/2025
7.1102,9/10/2025
8.2825,9/10/2025
9.5477,9/10/2025
5.1067,9/10/2025
7.1055,30/9/2025
8.3351,30/9/2025
9.5514,30/9/2025
5.1094,30/9/2025
7.1089,29/9/2025
8.3316,29/9/2025
9.5411,29/9/2025
5.1053,29/9/2025
7.1152,26/9/2025
8.3117,26/9/2025
9.5062,26/9/2025
5.1128,26/9/2025
7.1118,25/9/2025
8.3614,25/9/2025
9.5817,25/9/2025
5.1261,25/9/2025
7.1077,24/9/2025
8.3939,24/9/2025
9.6106,24/9/2025
5.1363,24/9/2025
7.1057,23/9/2025
8.3877,23/9/2025
9.604,23/9/2025
5.14,23/9/2025
7.1106,22/9/2025
8.3516,22/9/2025
9.5841,22/9/2025
5.1626,22/9/2025
7.1128,19/9/2025
8.3834,19/9/2025
9.6413,19/9/2025
5.1574,19/9/2025
7.1085,18/9/2025
8.4025,18/9/2025
9.6899,18/9/2025
5.1619,18/9/2025
7.1013,17/9/2025
8.4249,17/9/2025
9.6924,17/9/2025
5.1671,17/9/2025
7.1027,16/9/2025
8.3571,16/9/2025
9.6643,16/9/2025
5.1581,16/9/2025
7.1056,15/9/2025
8.3327,15/9/2025
9.6351,15/9/2025
5.1366,15/9/2025
7.1019,12/9/2025
8.3326,12/9/2025
9.6415,12/9/2025
5.1341,12/9/2025
7.1034,11/9/2025
8.3158,11/9/2025
9.6217,11/9/2025
5.1293,11/9/2025
7.1062,10/9/2025
8.321,10/9/2025
9.6193,10/9/2025
5.1392,10/9/2025
7.1008,9/9/2025
8.3611,9/9/2025
9.6298,9/9/2025
5.1478,9/9/2025
7.1029,8/9/2025
8.3265,8/9/2025
9.5928,8/9/2025
5.139,8/9/2025
7.1064,5/9/2025
8.2953,5/9/2025
9.5689,5/9/2025
5.1528,5/9/2025
7.1052,4/9/2025
8.297,4/9/2025
9.5654,4/9/2025
5.1595,4/9/2025
7.1108,3/9/2025
